,sqft_above,sqft_living15,bathrooms,view,sqft_basement,floors,grade,condition,yr_built,yr_renovated,floors,price
2981,1610,1610,3.0,1,680,2.0,9,3,1924,2011,2.0,991700
5906,1840,1840,2.5,0,0,2.0,8,3,1991,0,2.0,390000
2443,940,1060,1.0,0,0,1.0,7,4,1967,0,1.0,355000
5941,1060,1760,1.75,0,0,2.0,7,3,1977,0,2.0,420000
8006,930,1110,1.0,0,500,1.0,7,3,1949,0,1.0,230000
6135,1210,2140,1.0,0,0,1.0,5,4,1948,0,1.0,259000
18534,1200,1110,2.0,0,0,1.0,7,4,1961,0,1.0,223000
19324,1280,1390,3.5,0,1280,1.0,6,4,1944,0,1.0,535000
7849,1690,3380,2.0,0,1690,1.0,9,4,1979,0,1.0,850000
13710,1330,2000,2.75,0,740,2.0,7,4,1929,0,2.0,440000
3258,880,980,1.0,0,0,1.0,5,4,1924,0,1.0,256000
16189,1540,1630,2.5,0,0,2.0,8,4,1982,0,2.0,439950
7680,1530,1720,2.5,0,0,2.0,8,3,1994,0,2.0,449950
8855,1760,1920,2.5,0,0,2.0,8,3,1992,0,2.0,281000
13841,1830,1960,2.25,0,0,2.0,7,3,2003,0,2.0,295000
18209,1190,1700,1.0,0,0,1.0,7,3,1946,0,1.0,587100
12120,1110,1670,1.5,0,0,1.0,6,3,1940,1997,1.0,375000
13230,1580,2540,2.25,0,1100,2.0,8,4,1978,0,2.0,575000
14473,1480,1940,2.5,0,850,1.0,7,4,1980,0,1.0,325000
20341,3020,3010,2.75,0,0,2.0,9,3,2014,0,2.0,879950
14474,1280,2480,1.0,0,0,1.5,6,5,1941,0,1.5,272925
11873,1130,1180,1.0,0,0,1.0,6,5,1948,0,1.0,350000
11728,2500,2880,1.0,0,0,1.5,7,3,1955,0,1.5,850000
14628,4480,3140,3.0,0,0,2.0,9,3,1987,0,2.0,835000
1382,780,1570,1.0,0,450,1.0,7,4,1937,0,1.0,433500
1393,3410,2580,2.75,0,0,2.0,9,3,1984,0,2.0,545000
17531,1580,1770,2.25,0,0,2.0,8,4,1994,0,2.0,500000
4000,1670,1570,2.25,0,0,2.0,7,4,1990,0,2.0,282500
7145,1090,1740,2.5,0,0,1.0,7,4,1957,0,1.0,394950
11742,890,1690,1.0,0,0,1.0,6,3,1946,0,1.0,391000
4262,2330,1830,3.0,2,960,2.0,8,4,1975,0,2.0,562000
14698,730,1190,1.0,0,730,1.0,7,4,1941,0,1.0,239950
11653,1380,2140,2.25,0,410,1.5,7,3,1985,0,1.5,410000
20368,580,1160,2.0,0,580,1.0,6,4,1930,0,1.0,394000
11744,2440,2440,2.5,0,0,2.0,7,3,2003,0,2.0,435000
1143,1440,1530,2.0,0,0,1.0,6,5,1962,0,1.0,225500
17527,3030,2500,2.75,0,0,2.0,8,4,1980,0,2.0,768000
1485,4210,3950,3.5,0,0,2.0,9,3,2001,0,2.0,884744
3930,1934,2850,3.25,4,1852,1.0,9,3,1978,2006,1.0,1380000
17618,2570,2060,2.5,0,600,2.0,7,4,1925,0,2.0,748000
17394,1630,1500,2.5,0,0,3.0,8,3,2004,0,3.0,557000
11467,1980,1770,2.5,0,0,2.0,8,3,1989,0,2.0,545800
6341,3520,3470,2.5,0,0,2.0,10,4,1993,0,2.0,905000
13706,1620,2210,2.75,0,400,1.0,9,4,1967,0,1.0,650000
8729,2031,2390,3.0,0,0,2.0,9,3,1988,0,2.0,335000
14345,1090,2040,1.0,0,520,1.0,7,3,1975,0,1.0,375000
9739,1440,2010,1.0,0,0,1.5,7,3,1908,0,1.5,499950
13559,990,1120,1.0,0,0,1.0,6,4,1918,0,1.0,409950
15695,2960,2280,3.0,0,770,1.0,9,3,1979,0,1.0,825000
12757,2410,2360,2.5,3,0,2.0,9,3,1990,0,2.0,610000
9920,2740,2760,2.5,0,0,2.0,9,3,1997,0,2.0,672800
9763,1660,2010,2.5,0,0,2.0,7,3,1994,0,2.0,315000
13504,2940,3120,2.5,0,0,2.0,9,3,2004,0,2.0,845000
9889,3830,3830,3.25,0,0,2.0,9,3,2014,0,2.0,963990
11650,2640,2980,2.75,0,0,2.0,10,3,1990,0,2.0,790000
15806,1970,2200,2.75,1,1570,1.5,8,4,1947,0,1.5,784000
15394,2050,1920,2.5,0,0,2.0,7,3,1989,0,2.0,398000
11585,1580,1580,1.75,0,0,1.0,7,4,1977,0,1.0,216000
15238,1250,2070,2.5,0,820,1.0,8,4,1976,0,1.0,775000
7000,1160,1570,2.25,0,310,1.0,7,3,1984,0,1.0,225000
10044,1720,1460,1.0,0,150,1.0,8,4,1937,0,1.0,375000
10036,710,960,1.0,0,0,1.0,6,3,1909,0,1.0,362362
5701,3500,3500,3.25,0,0,2.0,10,3,1987,0,2.0,798000
6557,2150,2000,2.25,0,0,2.0,8,4,1979,0,2.0,573000
7270,830,1300,1.0,0,0,1.0,6,3,1942,1989,1.0,295000
14399,2420,2220,2.5,0,670,2.0,8,5,1985,0,2.0,974350
9459,1770,2080,2.5,0,0,2.0,7,3,2004,0,2.0,291500
6546,1820,1680,2.5,0,0,2.0,7,3,1994,0,2.0,318400
7302,840,1650,1.0,0,600,1.0,7,3,1950,0,1.0,335000
10191,1370,1220,1.0,0,0,1.5,7,3,1906,0,1.5,530000
11282,990,1130,1.0,0,0,1.0,7,3,1948,0,1.0,219950
10139,3000,3000,2.5,0,0,2.0,8,3,2008,0,2.0,759900
7463,1060,2200,1.75,0,1060,1.0,7,4,1960,0,1.0,425000
14046,1010,1270,1.0,0,600,1.5,7,5,1901,0,1.5,535610
9532,2770,3010,2.25,0,0,2.0,9,4,1979,0,2.0,825000
14877,3300,3550,2.5,0,0,2.0,9,3,1998,0,2.0,725000
12447,2840,3680,4.0,4,180,2.0,8,3,1942,1983,2.0,1900000
13976,1120,1137,1.5,0,60,2.0,7,3,2001,0,2.0,410000
15504,1250,1680,2.5,0,200,1.5,7,3,1902,0,1.5,431000
8973,1220,1880,1.5,0,0,1.5,7,3,1931,0,1.5,225000
15698,850,1550,1.0,0,0,1.5,4,1,1950,0,1.5,150000
13925,1950,2060,2.25,0,1000,1.5,8,3,1963,0,1.5,386500
12489,1970,1680,2.75,0,0,2.5,8,3,1924,1994,2.5,780000
11391,1550,1460,2.75,0,740,1.5,7,5,1928,0,1.5,620000
13901,1150,1900,1.75,0,580,1.0,7,3,1980,0,1.0,335000
6387,1220,1280,2.0,0,760,1.5,7,5,1906,0,1.5,549000
12538,1340,1350,2.0,0,830,1.0,7,5,1919,0,1.0,330000
12540,1160,960,1.75,0,0,1.0,6,4,1941,0,1.0,312000
9854,1990,2310,2.5,0,0,2.0,7,4,1986,0,2.0,450000
5357,940,1900,1.75,0,60,1.0,6,3,1906,0,1.0,335000
19311,1360,1530,1.0,0,0,1.0,7,4,1953,0,1.0,159000
3051,2270,2580,2.5,0,0,1.0,10,4,1988,0,1.0,716000
18684,1220,1840,2.75,0,840,1.0,7,4,1978,0,1.0,415000
1942,3090,3760,3.75,0,1400,2.0,10,4,1941,0,2.0,1720000
20463,770,1350,1.5,0,0,2.0,7,3,2006,0,2.0,290000
4621,1570,2170,1.75,0,570,1.0,7,4,1958,0,1.0,419000
2898,2670,1810,2.5,0,0,2.0,9,5,1958,0,2.0,685000
1269,1530,1920,2.5,3,1150,1.0,7,4,1967,0,1.0,470000
3999,2290,1240,1.75,0,0,1.0,6,3,1936,1953,1.0,247500
2751,2040,2380,2.5,0,0,2.0,8,4,2006,0,2.0,346950
2720,1740,1290,2.5,0,0,2.0,7,3,2008,0,2.0,410000
1366,2440,2820,2.5,0,0,2.0,9,4,1989,0,2.0,672000
2609,1300,1390,1.0,0,0,1.0,7,4,1958,0,1.0,230000
19068,3360,2510,2.5,0,0,2.0,9,3,2004,0,2.0,850000
19081,1890,2100,2.75,0,0,2.0,8,3,1999,0,2.0,375000
20199,2710,2590,2.75,0,0,2.0,8,3,2014,0,2.0,515805
19119,1290,1550,1.75,0,520,1.0,7,4,1983,0,1.0,325000
4786,1500,2170,2.75,0,1500,1.0,7,4,1961,0,1.0,379000
2414,1220,1100,1.0,0,0,1.0,6,3,1958,0,1.0,286700
19226,1810,1840,2.75,0,1400,1.0,7,5,1975,0,1.0,580000
21175,990,1550,2.5,0,330,2.0,8,3,2014,0,2.0,529000
1647,1860,1600,2.0,0,140,2.0,6,4,1949,0,2.0,520000
19873,1840,2130,2.5,0,290,2.0,8,3,2011,0,2.0,395000
5006,1730,1700,1.75,0,0,2.0,7,5,1949,0,2.0,446000
19719,2790,2620,2.75,0,0,2.0,8,3,2014,0,2.0,484259
2018,1800,3600,4.0,2,1800,1.0,8,5,1960,0,1.0,835000
3079,1060,1550,1.0,0,0,1.0,6,3,1951,0,1.0,228000
972,1710,2120,2.5,0,0,2.0,8,3,1999,0,2.0,524250
16631,810,1820,1.0,0,0,1.0,7,3,1968,0,1.0,367000
18277,3555,3625,2.75,0,0,2.0,9,3,2014,0,2.0,895990
16089,1400,1780,1.75,0,0,1.0,7,4,1976,0,1.0,305000
4376,1260,1270,1.75,0,0,1.0,6,5,1942,0,1.0,353000
4393,940,1700,1.0,0,0,1.0,6,5,1900,0,1.0,551000
17883,4030,4090,3.25,0,0,2.0,11,3,1988,0,2.0,985000
21228,2790,2620,2.75,0,0,2.0,8,3,2013,0,2.0,485000
4450,1140,1620,2.25,0,220,2.0,8,3,2006,0,2.0,500000
17358,2180,1500,3.0,0,0,2.0,7,4,1968,0,2.0,499900
18157,1150,1560,1.75,0,0,1.0,7,5,1966,0,1.0,339000
3216,3460,3350,3.5,0,0,2.0,10,3,1986,0,2.0,845000
3851,1630,1630,2.25,0,0,1.0,7,3,1960,0,1.0,203000
3214,1440,1890,2.5,0,0,2.0,7,3,2005,0,2.0,269000
17461,1040,1450,1.75,0,910,1.0,7,5,1951,0,1.0,601000
5414,1540,1960,2.5,0,700,1.0,8,3,1962,0,1.0,654000
21140,1140,1580,2.5,0,240,2.0,7,3,2012,0,2.0,294000
20761,1239,2060,2.0,0,0,1.0,7,3,2009,0,1.0,253101
12090,1870,2170,2.0,0,0,1.0,8,3,2006,0,1.0,592500
9348,1660,2480,2.5,0,710,1.0,8,5,1974,0,1.0,715000
16443,3140,3140,2.5,0,0,2.0,10,3,1991,0,2.0,810000
17431,1150,2040,3.0,0,1080,1.0,8,3,1960,2014,1.0,750000
20646,1920,1930,2.5,0,0,2.0,9,3,2003,0,2.0,674000
21116,1983,2502,2.5,0,0,2.0,9,3,2012,0,2.0,345000
12239,2210,2710,3.25,0,920,1.0,9,3,1985,0,1.0,595000
19875,1847,1847,2.5,0,0,2.0,7,3,2008,0,2.0,215000
16538,1980,3720,2.25,1,410,1.0,10,3,1948,0,1.0,1190000
1734,2070,1550,2.25,0,0,2.0,7,3,1989,0,2.0,379500
15300,2640,2680,2.5,0,0,2.0,9,3,2003,0,2.0,678000
9064,1990,2100,1.5,4,0,1.5,7,4,1926,0,1.5,625000
20053,3820,4310,3.5,3,850,2.0,11,3,2007,0,2.0,1240000
11993,2660,3320,1.75,0,1400,2.0,9,5,1924,0,2.0,1300000
15705,3420,3350,2.5,0,0,2.0,9,3,2006,0,2.0,890900
11283,2130,2170,2.25,0,0,2.0,8,4,1977,0,2.0,671500
20618,1140,1340,2.5,0,280,2.0,8,3,2008,0,2.0,451300
20614,1489,1537,2.5,0,0,2.0,7,3,2014,0,2.0,255900
5923,3330,3360,2.25,0,0,2.0,10,3,1986,0,2.0,762500
1014,1250,1490,1.0,0,0,1.0,7,3,1980,0,1.0,164808
20587,590,1700,2.0,0,1030,1.0,7,3,2006,0,1.0,445000
1066,990,1760,1.0,0,200,1.0,7,3,1954,0,1.0,250000
1086,1370,1400,1.5,0,0,1.0,7,3,1962,0,1.0,225000
892,1090,1200,1.0,0,0,1.0,6,3,1954,0,1.0,340000
20758,2260,2340,2.0,0,0,1.0,9,3,2012,0,1.0,479950
16356,1630,1630,2.25,0,0,2.0,7,3,2004,0,2.0,468000
1328,1600,2100,2.25,0,500,1.0,8,3,1974,0,1.0,567000
20236,2180,2570,2.5,0,1170,1.0,9,3,2009,0,1.0,1300000
20227,1834,1979,2.25,0,0,2.0,8,3,2012,0,2.0,280000
11354,2110,2100,2.75,0,0,2.0,8,4,1991,0,2.0,325000
20215,1420,1530,2.25,0,0,3.0,8,3,2006,0,3.0,500000
14549,2233,2060,1.5,0,760,2.0,7,4,1921,0,2.0,540000
10129,1080,1210,1.0,0,0,1.0,6,3,1963,0,1.0,112000
5818,1120,3040,1.0,2,0,1.0,7,4,1971,0,1.0,540000
11707,1080,2450,2.75,3,1080,1.0,7,3,1969,0,1.0,590000
2901,1850,1700,2.5,0,700,1.5,7,4,1924,0,1.5,675000
2055,1890,1610,1.5,0,0,1.0,7,3,1962,0,1.0,319990
3042,1290,1290,1.0,0,0,1.5,7,4,1919,0,1.5,456500
13525,1480,1480,1.75,0,0,1.0,7,4,1969,0,1.0,310000
17075,1590,2700,2.25,0,540,1.0,8,4,1977,0,1.0,780000
18481,1060,1900,1.0,0,0,1.0,7,4,1956,0,1.0,301000
4501,1770,2500,2.25,0,870,1.0,8,3,1977,0,1.0,518000
7864,1390,1100,1.5,0,0,2.0,7,3,2001,0,2.0,267500
7856,1540,2620,2.5,0,530,1.0,8,4,1980,0,1.0,653450
4483,2270,2160,2.5,0,0,2.0,8,3,1986,0,2.0,340000
3217,1750,1400,1.0,0,0,1.0,7,4,1961,0,1.0,234000
3293,2390,1980,2.75,0,0,2.0,7,3,1989,0,2.0,282000
3041,990,990,1.0,0,0,1.0,6,3,1931,0,1.0,430000
18121,1890,2390,2.25,0,0,1.0,8,3,1978,0,1.0,473000
3607,1280,2190,2.0,0,900,1.0,8,4,1969,0,1.0,419000
17274,4170,4270,4.25,2,980,2.5,11,3,1954,0,2.5,2250000
14078,700,1600,1.0,0,0,1.0,4,3,1920,0,1.0,152000
17997,1570,1640,1.0,0,0,2.0,8,5,1908,0,2.0,700000
14134,1180,1300,2.0,0,720,1.0,7,3,1930,1965,1.0,667000
17908,940,1310,1.0,0,0,1.0,6,3,1943,0,1.0,115000
14605,2370,2550,3.0,4,1250,2.0,10,5,1977,0,2.0,2230000
3776,1630,1830,1.75,0,0,1.0,7,3,1958,0,1.0,522000
17833,1080,1720,1.0,0,0,1.5,5,5,1900,0,1.5,275000
14613,1170,1340,2.0,0,0,1.0,6,5,1902,0,1.0,260000
14749,1560,1640,2.25,0,0,2.0,7,3,1990,0,2.0,213675
1989,1730,1600,1.75,0,0,1.0,7,3,1959,0,1.0,299000
16995,1410,1200,1.0,0,0,1.0,7,5,1967,0,1.0,230000
18722,2910,2910,2.75,0,0,2.0,7,3,2006,0,2.0,410000
8913,2497,2434,2.5,0,0,2.0,8,3,2007,0,2.0,275000
6284,1540,1590,2.5,0,800,1.5,7,3,1906,0,1.5,550000
2113,1400,1900,2.75,0,700,1.0,8,3,1979,0,1.0,491500
15237,1330,2250,1.75,0,920,1.0,7,4,1958,0,1.0,468000
19459,1060,1490,1.75,0,300,1.0,7,3,1966,0,1.0,431200
2197,2770,2370,2.5,0,0,2.0,8,3,1989,0,2.0,347000
16723,1600,1190,2.0,0,0,1.5,7,3,1927,0,1.5,365000
19336,4065,3070,3.5,0,0,2.0,10,4,1987,0,2.0,1950000
2315,1100,1390,2.75,0,1100,1.0,8,5,1955,0,1.0,583000
4830,1350,1940,1.0,0,0,1.5,7,4,1964,0,1.5,430000
2942,2490,3170,2.5,0,0,2.0,9,3,1997,0,2.0,635000
17591,870,870,1.0,0,0,1.0,6,5,1969,0,1.0,183000
12813,3910,2920,2.5,0,0,1.5,8,3,1908,2003,1.5,1750000
19139,1470,2110,1.75,0,920,1.0,8,3,1979,0,1.0,650000
12917,1390,1880,2.0,0,400,1.0,7,3,1980,0,1.0,317000
19047,1240,1240,1.0,0,0,1.0,7,4,1976,0,1.0,324950
19001,1510,1990,2.0,0,0,2.0,7,4,1909,1995,2.0,629000
6456,1550,1220,1.75,0,0,1.5,7,4,1941,0,1.5,360000
8338,1990,2010,2.0,0,360,1.5,8,4,1922,0,1.5,875000
8234,1820,3060,2.75,0,860,1.0,9,5,1964,0,1.0,1320000
4640,2170,2010,3.0,0,0,2.0,8,3,1992,0,2.0,560000
2899,1640,1680,1.0,0,0,1.0,7,4,1960,0,1.0,311000
2386,2230,2420,2.25,0,0,2.0,8,3,2005,0,2.0,340000
5775,2050,2010,2.5,0,0,2.0,8,3,1987,0,2.0,550000
3901,1750,1740,2.25,0,430,1.0,7,3,1973,0,1.0,455000
21469,4590,3350,4.0,0,0,2.0,10,3,2008,0,2.0,1720000
10794,1430,1480,2.5,0,0,2.0,7,3,1984,0,2.0,429000
15948,2610,2480,2.5,0,0,2.0,8,3,2005,0,2.0,350000
21389,2200,2600,2.5,0,0,2.0,8,3,2010,0,2.0,460000
329,1590,2500,2.25,0,780,1.0,9,4,1977,0,1.0,790000
180,1670,1670,2.5,0,0,2.0,7,3,1988,0,2.0,260000
15921,2760,2860,3.5,2,760,2.0,8,3,2005,0,2.0,470000
11012,3136,2300,2.5,0,0,1.5,8,5,1910,0,1.5,665000
93,1290,1570,1.5,0,290,1.0,8,3,1939,0,1.0,430000
110,2310,1940,2.5,0,0,2.0,8,3,1984,0,2.0,597750
10593,1120,1300,1.0,0,0,1.0,7,3,1943,0,1.0,549995
15825,1470,1750,1.5,0,680,1.5,7,3,1928,0,1.5,500000
11017,1350,1440,2.0,0,0,1.0,8,3,2007,0,1.0,410000
10570,1340,2120,1.75,0,700,1.0,7,4,1952,0,1.0,730000
14088,910,1090,1.0,0,0,1.0,6,4,1943,0,1.0,165000
17369,1410,1410,1.0,0,0,1.5,8,3,1927,0,1.5,658500
12242,1450,1760,1.75,0,1250,1.0,8,4,1937,0,1.0,710000
10186,880,1580,1.0,0,140,1.0,7,4,1928,0,1.0,505000
18873,1000,1650,3.25,0,210,2.0,8,3,2002,0,2.0,350000
3996,1000,1150,1.75,0,0,1.0,8,4,1975,0,1.0,210000
4683,900,1430,1.0,0,0,1.0,6,3,1918,0,1.0,205000
1789,2130,3380,2.25,0,0,2.0,8,4,1977,0,2.0,686000
20733,1220,1210,1.5,0,0,3.0,7,3,2006,0,3.0,286308
16388,3070,2760,3.0,0,0,2.0,8,3,2005,0,2.0,341950
394,3840,3600,2.5,1,0,2.0,10,4,1983,0,2.0,1120000
717,2660,1120,2.25,0,0,2.0,7,3,1937,1990,2.0,452000
13466,2200,1950,2.25,4,1450,2.0,7,4,1947,0,2.0,920000
8740,2110,2030,3.25,2,650,2.0,9,3,1991,0,2.0,375000
17708,1520,1890,2.0,0,0,1.0,8,3,1993,0,1.0,241000
14912,1660,2110,3.25,0,950,1.5,9,4,1909,0,1.5,925000
2733,2710,2710,2.75,0,0,2.0,9,3,1995,0,2.0,535000
12915,1300,1500,1.0,0,0,1.0,7,3,1956,0,1.0,305240
4298,1830,1850,1.75,0,0,1.0,7,3,1963,0,1.0,346950
2912,860,1440,1.75,0,860,1.0,6,5,1940,0,1.0,420000
18555,1660,2260,3.0,0,600,2.0,8,3,2002,0,2.0,651000
3375,3060,4170,4.5,3,830,2.0,11,3,2004,0,2.0,970000
10079,2060,1610,2.5,0,0,2.0,7,3,1999,0,2.0,275000
13551,1590,1090,2.5,0,0,2.0,7,3,1994,0,2.0,299000
14069,1370,1590,1.0,2,0,1.5,5,5,1900,0,1.5,255500
1716,1400,2290,2.5,0,1400,1.0,7,3,1968,0,1.0,442500
11359,1270,1130,1.75,0,450,1.5,7,3,1931,2003,1.5,565000
18535,1350,1670,1.75,0,420,1.0,7,3,1937,0,1.0,630000
5792,2200,2560,2.5,0,0,2.0,9,3,1985,0,2.0,424000
4226,1170,1530,1.0,0,0,1.5,7,3,1910,0,1.5,527500
18547,1690,2280,2.5,0,670,1.0,8,3,1987,0,1.0,572000
721,960,1300,1.0,0,0,1.0,7,5,1911,0,1.0,565000
15683,720,1080,2.0,0,0,1.0,6,5,1947,0,1.0,300000
3501,1540,1560,2.25,0,520,1.0,7,4,1967,0,1.0,425000
16662,1530,1310,1.0,0,0,2.0,8,3,1901,0,2.0,590000
11719,1180,1290,1.0,0,0,1.0,7,4,1970,0,1.0,215000
14303,1280,1150,1.5,0,0,2.0,6,4,1985,0,2.0,167000
18921,1020,1510,2.25,0,470,2.0,7,3,2005,0,2.0,507000
9311,1200,1830,1.75,1,630,1.0,7,3,1947,0,1.0,323000
838,1290,1790,1.75,2,1220,1.0,8,4,1962,0,1.0,285000
19604,2620,1950,3.0,1,1280,1.5,8,5,1931,0,1.5,850000
3601,700,1620,1.0,0,0,1.0,6,3,1943,0,1.0,328000
2036,1530,1540,2.5,0,0,2.0,7,3,2001,0,2.0,250000
19581,840,1030,1.0,0,0,1.0,6,3,1959,0,1.0,187500
9969,770,960,1.0,0,0,1.0,7,3,1918,0,1.0,497000
18700,1930,3370,2.75,4,450,2.0,9,3,1939,0,2.0,1160000
20791,1500,1490,1.5,0,0,2.0,7,3,2014,0,2.0,182568
16877,1460,2380,2.5,2,1460,1.0,8,5,1955,0,1.0,1020000
7500,1620,1380,1.5,0,0,1.0,7,3,1954,0,1.0,499100
9216,1140,1810,1.75,0,340,2.0,7,4,1944,0,2.0,585000
13421,1580,2190,1.0,0,0,2.0,8,3,1905,0,2.0,690000
4570,960,1520,1.0,0,0,1.0,7,4,1951,0,1.0,319000
16484,1420,1546,2.0,0,1000,1.0,7,4,1959,0,1.0,298500
740,2210,2210,2.5,0,0,2.0,8,3,1997,0,2.0,360000
3005,750,2170,2.0,0,700,1.0,6,4,1924,0,1.0,524000
16612,1870,3920,1.75,0,280,2.0,8,3,1921,0,2.0,950000
11949,1310,2450,2.5,0,680,2.0,8,4,1997,0,2.0,590000
4157,870,2460,1.75,0,770,1.5,7,4,1943,0,1.5,522500
18295,1410,2120,2.5,0,340,1.0,8,3,1977,2003,1.0,625000
18803,2410,2540,3.0,0,0,2.0,9,3,1988,0,2.0,555000
12263,1330,1770,1.75,0,460,1.0,7,3,1980,0,1.0,402200
7228,3570,2690,3.25,0,0,2.0,7,3,2005,0,2.0,627000
15589,1870,1970,2.5,0,0,2.0,7,3,1989,0,2.0,275000
2352,3090,3050,2.5,0,0,2.0,9,3,2001,0,2.0,775000
1343,1030,1230,1.5,0,170,2.0,8,3,2008,0,2.0,464950
565,1840,1600,2.5,0,0,2.0,7,3,2008,0,2.0,435000
10427,2120,2140,2.5,0,0,2.0,9,4,1989,0,2.0,690000
15343,2740,2740,2.5,0,0,2.0,9,3,1993,0,2.0,476000
1629,1990,2310,2.0,0,0,2.0,9,3,1984,0,2.0,540000
12266,1440,2400,2.0,0,1000,1.0,8,4,1977,0,1.0,312000
6145,1810,1420,2.0,0,0,1.0,7,3,1967,0,1.0,407450
6189,3690,4150,3.5,0,2170,2.0,10,5,1907,0,2.0,2400000
16590,1460,1490,1.0,0,0,1.0,7,4,1959,0,1.0,250000
12576,1030,2090,1.75,0,500,1.0,7,3,1942,0,1.0,469775
15824,1590,2320,2.5,0,0,2.0,9,3,1997,0,2.0,411000
6965,2970,3280,2.0,0,0,2.0,8,3,1924,1985,2.0,665000
384,3480,4050,3.5,2,1320,2.0,11,3,1998,0,2.0,1350000
8933,2710,2520,2.5,0,0,2.0,8,3,1994,0,2.0,399900
19810,1400,1380,3.25,0,310,2.0,7,3,2014,0,2.0,358990
5791,3370,2980,2.5,0,0,2.0,9,4,1988,0,2.0,699950
9222,1040,1410,0.75,0,0,1.0,6,3,1941,0,1.0,230000
17887,1090,1490,2.0,0,0,1.0,7,4,1990,0,1.0,219000
12563,2480,2310,2.5,0,0,2.0,8,3,2002,0,2.0,583800
15299,2380,2190,2.5,0,0,2.0,8,3,2000,0,2.0,340000
18006,1600,1890,2.5,0,0,2.0,8,3,1993,0,2.0,315000
15588,2020,1840,2.75,0,1300,1.0,7,4,1963,0,1.0,687500
16796,1250,1380,2.5,2,990,1.0,7,3,1926,2005,1.0,630000
641,1340,1540,2.5,0,910,1.0,7,3,1982,0,1.0,305000
155,1180,1190,1.0,0,0,1.0,7,4,1967,0,1.0,215000
16143,1800,2060,2.75,0,1250,1.0,8,4,1966,0,1.0,517850
1479,1690,1600,2.5,0,0,2.0,7,3,2002,0,2.0,455800
20942,1830,1813,2.75,0,0,2.0,8,3,2012,0,2.0,269800
12065,1930,1350,1.75,0,0,1.5,6,3,1929,0,1.5,285000
19343,1690,2390,1.75,0,0,1.0,7,3,1977,0,1.0,371000
10072,1250,1110,1.75,0,300,1.0,7,3,1911,2011,1.0,650000
12549,3010,3010,2.75,3,0,2.0,9,4,1980,0,2.0,1090000
8703,2810,2810,2.5,0,0,2.0,9,3,1998,0,2.0,301000
9372,2750,2750,2.5,0,0,2.0,10,3,1999,0,2.0,1050000
11285,1290,1890,2.25,0,670,1.0,7,3,1965,0,1.0,182000
21298,2587,2996,3.5,0,630,2.0,8,3,2008,0,2.0,458000
2021,4070,3770,3.5,0,0,2.0,11,3,1991,0,2.0,1480000
2293,1520,1920,2.75,0,830,1.5,8,3,1922,2015,1.5,585000
2405,3070,2470,3.5,0,1050,2.0,11,3,2006,0,2.0,968933
4687,2320,2330,2.5,0,0,2.0,8,3,2004,0,2.0,423000
18896,3660,3660,3.25,0,0,2.0,10,3,2003,0,2.0,920000
18816,3230,3230,2.5,0,0,2.0,9,3,1993,0,2.0,785000
1019,3130,3330,2.75,0,0,2.0,10,4,1993,0,2.0,840000
14254,2100,2100,2.25,0,0,2.0,8,4,1978,0,2.0,625000
1618,1070,1480,1.75,0,0,1.0,7,3,1994,0,1.0,208000
7074,1440,2010,2.5,0,1440,1.0,8,5,1966,0,1.0,560000
4128,2950,2870,3.5,0,810,2.0,9,3,1998,0,2.0,740000
14593,1780,2320,2.0,0,0,1.5,8,5,1918,0,1.5,1000000
4196,1020,1440,1.0,0,0,1.0,7,3,1951,0,1.0,410000
9748,1160,1870,2.0,0,0,1.0,7,3,1969,0,1.0,306000
14992,2740,2800,2.0,4,0,2.0,10,3,1988,0,2.0,535000
44,920,1340,1.0,0,360,1.0,6,4,1959,0,1.0,309000
7233,1220,2520,1.75,2,920,1.0,7,4,1962,0,1.0,485000
9691,2210,2000,1.75,0,630,1.0,7,4,1954,0,1.0,462000
2123,3810,3430,3.75,2,2590,1.0,10,4,1966,0,1.0,1330000
21421,1970,2710,2.5,0,0,2.0,7,3,2011,0,2.0,530000
12052,1090,1380,1.0,0,0,1.0,7,4,1955,0,1.0,140000
332,1810,1910,2.0,2,0,1.0,8,3,1991,0,1.0,295000
9522,2810,2850,2.5,0,0,2.0,9,3,2013,0,2.0,487500
14155,1640,1600,2.25,0,0,2.0,7,3,1996,0,2.0,275000
18048,2050,2680,2.5,2,0,2.0,8,3,2004,0,2.0,457000
17247,1400,1740,2.75,0,830,1.0,7,3,1968,0,1.0,280000
1272,1770,2030,1.75,0,530,1.0,8,3,1942,0,1.0,320000
12716,2250,2110,2.5,0,400,2.0,8,3,1979,0,2.0,559950
12582,1100,1330,2.0,0,1100,1.0,6,3,1944,0,1.0,205000
11997,3080,2750,2.5,0,0,2.5,8,3,2008,0,2.5,750000
11941,3160,3900,2.5,0,0,1.0,10,3,1980,0,1.0,940000
2264,2340,1390,1.75,0,0,2.0,7,3,1957,0,2.0,210000
12655,1380,1720,1.75,0,1000,1.0,6,1,1918,0,1.0,227000
16401,2910,2420,2.5,0,0,2.0,8,3,1998,0,2.0,595000
14168,2920,2180,2.5,0,0,2.0,10,3,2002,0,2.0,820000
19399,1900,1640,2.5,0,0,2.0,8,3,2005,0,2.0,504975
17927,2270,3910,3.25,3,1200,1.0,11,3,1989,0,1.0,1320000
5649,902,1510,1.0,0,0,1.0,7,3,1965,0,1.0,152000
10432,1710,1270,2.5,0,800,1.5,7,4,1929,0,1.5,400000
